order_id,customer_id,age,product_id,country,signup_date,last_purchase_date,cancellations_count,subscription_status,order_date,unit_price,quantity,purchase_frequency,preferred_category,product_name,category,gender
ORD5024,CUST1024,45,PROD224,Germany,2022-04-14,2023-01-29,2,active,2024-05-21,232.67,3,20,Clothing,Lipstick,Beauty,Male
ORD5025,CUST1025,49,PROD225,India,2021-11-07,2022-06-09,3,cancelled,2022-09-26,142.89,5,40,Clothing,Sneakers,Clothing,Male
ORD5026,CUST1026,27,PROD226,Germany,2023-05-15,2025-05-05,0,paused,2024-08-26,44.69,7,28,Beauty,T-Shirt,Clothing,Male
ORD5027,CUST1027,69,PROD227,Pakistan,2021-03-23,2022-02-25,4,cancelled,2024-11-13,139.3,7,42,Clothing,Tennis Racket,Sports,Male
ORD5028,CUST1028,66,PROD228,India,2021-06-02,2025-04-03,1,active,2022-01-17,149.65,8,45,Electronics,Sofa,Home,Male
ORD5029,CUST1029,43,PROD229,Canada,2020-08-22,2024-03-22,3,cancelled,2021-08-06,157.1,6,14,Electronics,Laptop,Electronics,Female
ORD5031,CUST1031,37,PROD231,Canada,2021-08-19,2023-07-22,4,paused,2024-09-07,31.95,1,9,Home,Dress,Clothing,Male
ORD5033,CUST1033,50,PROD233,Canada,2022-03-25,2022-09-25,5,active,2022-09-05,332.38,5,29,Home,Shirt,Clothing,Male
ORD5035,CUST1035,48,PROD235,India,2021-07-11,2023-11-23,3,active,2024-06-03,36.39,7,24,Electronics,Tablet,Electronics,Female
ORD5036,CUST1036,42,PROD236,UK,2023-08-03,2024-01-14,0,paused,2024-09-22,79.19,7,13,Home,Camera,Electronics,Male
ORD5037,CUST1037,66,PROD237,India,2023-03-25,2023-05-16,3,active,2024-12-29,94.06,4,48,Sports,Blender,Home,Male
ORD5038,CUST1038,25,PROD238,Pakistan,2022-02-17,2023-06-29,3,paused,2022-03-13,786.48,2,11,Sports,Basketball,Sports,Female
ORD5039,CUST1039,40,PROD239,India,2022-12-04,2024-12-13,5,active,2025-06-05,20.55,6,47,Beauty,Sneakers,Clothing,Female
ORD5040,CUST1040,31,PROD240,USA,2023-05-08,2025-08-06,3,active,2023-10-09,203.23,5,45,Beauty,Sneakers,Clothing,Male
ORD5041,CUST1041,55,PROD241,Pakistan,2022-07-19,2025-03-28,5,active,2024-12-02,65.07,7,5,Sports,Dumbbells,Sports,Female
ORD5043,CUST1043,55,PROD243,UK,2023-04-22,2024-05-28,4,active,2024-12-24,18.98,7,45,Sports,Smartphone,Electronics,Female
ORD5044,CUST1044,47,PROD244,Germany,2022-03-11,2023-12-11,5,cancelled,2025-07-09,654.56,3,48,Beauty,Football,Sports,Male
ORD5045,CUST1045,29,PROD245,Pakistan,2020-11-30,2022-05-22,0,active,2023-10-24,334.17,5,6,Home,Headphones,Electronics,Male
ORD5046,CUST1046,19,PROD246,Pakistan,2023-03-21,2025-01-14,0,active,2024-04-29,219.75,5,37,Beauty,Jacket,Clothing,Female
ORD5048,CUST1048,48,PROD248,Pakistan,2023-04-10,2025-04-18,5,paused,2025-06-09,149.88,4,35,Sports,Headphones,Electronics,Male
ORD5049,CUST1049,58,PROD249,Germany,2022-06-17,2025-01-04,4,active,2024-11-26,165.27,9,30,Sports,Bluetooth Speaker,Electronics,Male
ORD5050,CUST1050,27,PROD250,Pakistan,2020-08-29,2024-08-15,0,paused,2023-02-09,222.62,8,37,Beauty,Gaming Console,Electronics,Female
ORD5051,CUST1051,54,PROD251,Canada,2022-12-05,2023-07-13,2,active,2025-06-05,45.17,2,14,Beauty,Bluetooth Speaker,Electronics,Male
ORD5052,CUST1052,67,PROD252,USA,2020-09-09,2025-05-28,3,active,2022-03-19,136.95,8,4,Clothing,Basketball,Sports,Female
ORD5053,CUST1053,51,PROD253,Canada,2020-10-05,2021-08-16,4,cancelled,2025-04-03,323.04,3,8,Beauty,Nail Polish,Beauty,Female
ORD5056,CUST1056,38,PROD256,USA,2023-08-15,2023-12-28,0,active,2025-04-18,472.04,2,17,Electronics,Shirt,Clothing,Male
ORD5058,CUST1058,18,PROD258,USA,2021-04-22,2023-05-18,3,active,2023-02-04,295.22,5,18,Electronics,Jeans,Clothing,Male
ORD5059,CUST1059,41,PROD259,Canada,2020-08-30,2023-09-02,0,paused,2023-09-30,362.26,5,13,Beauty,Running Shoes,Sports,Female
ORD5060,CUST1060,35,PROD260,Canada,2021-08-16,2021-09-21,1,cancelled,2021-11-22,286.73,6,42,Beauty,Cycling Helmet,Sports,Female
ORD5061,CUST1061,39,PROD261,Canada,2021-12-29,2024-01-10,3,active,2022-04-05,34.68,9,2,Home,Smartphone,Electronics,Female
ORD5062,CUST1062,33,PROD262,UK,2021-09-09,2024-02-02,4,paused,2022-11-14,370.97,4,13,Electronics,Sneakers,Clothing,Female
ORD5065,CUST1065,56,PROD265,Pakistan,2020-11-16,2025-06-12,1,paused,2022-08-15,459.56,3,7,Sports,Smartwatch,Electronics,Female
ORD5067,CUST1067,66,PROD267,UK,2021-09-24,2024-10-30,4,active,2024-06-22,180.63,3,39,Clothing,Cycling Helmet,Sports,Female
ORD5069,CUST1069,19,PROD269,Canada,2022-01-25,2025-06-29,4,active,2025-01-07,262.1,6,33,Clothing,Smartwatch,Electronics,Male
ORD5070,CUST1070,33,PROD270,India,2023-07-29,2024-12-18,3,active,2025-04-17,466.13,3,25,Home,Jeans,Clothing,Female
ORD5071,CUST1071,62,PROD271,India,2021-10-09,2024-03-01,2,active,2022-12-25,365.16,3,13,Sports,Laptop,Electronics,Female
ORD5073,CUST1073,57,PROD273,Pakistan,2021-11-01,2022-10-20,0,cancelled,2025-07-21,167.47,5,13,Sports,Sofa,Home,Male
ORD5074,CUST1074,21,PROD274,India,2021-08-19,2025-05-21,2,active,2022-09-11,44.36,6,27,Sports,Bluetooth Speaker,Electronics,Female
ORD5075,CUST1075,43,PROD275,USA,2022-08-20,2024-02-20,1,cancelled,2023-08-16,157.7,5,32,Home,Dumbbells,Sports,Female
ORD5076,CUST1076,63,PROD276,USA,2021-05-03,2022-08-06,5,cancelled,2025-07-30,244.5,6,19,Clothing,Blender,Home,Male
ORD5078,CUST1078,55,PROD278,UK,2021-04-11,2023-12-29,2,cancelled,2024-08-06,160.26,8,44,Beauty,Face Wash,Beauty,Female
ORD5079,CUST1079,54,PROD279,Germany,2020-10-05,2025-05-21,5,active,2024-04-06,154.0,7,21,Sports,Foundation,Beauty,Male
ORD5080,CUST1080,53,PROD280,Germany,2021-11-02,2023-10-10,0,active,2024-10-02,119.16,7,4,Electronics,Perfume,Beauty,Male
ORD5081,CUST1081,20,PROD281,USA,2023-07-01,2023-12-18,5,active,2025-02-16,68.21,5,8,Home,Refrigerator,Home,Male
ORD5082,CUST1082,18,PROD282,UK,2021-09-23,2022-02-20,0,active,2025-06-07,112.63,7,20,Electronics,Headphones,Electronics,Male
ORD5083,CUST1083,44,PROD283,UK,2021-10-03,2023-11-08,0,active,2022-04-23,269.36,6,16,Beauty,Basketball,Sports,Female
ORD5085,CUST1085,51,PROD285,Germany,2021-04-04,2023-11-27,0,active,2022-09-01,253.07,2,7,Sports,Tablet,Electronics,Female
ORD5086,CUST1086,55,PROD286,Germany,2021-01-15,2024-06-21,1,active,2021-08-25,189.41,8,3,Home,Laptop,Electronics,Female
ORD5088,CUST1088,31,PROD288,Germany,2021-10-16,2022-11-08,4,cancelled,2024-12-07,384.7,2,38,Home,Gaming Console,Electronics,Female
ORD5090,CUST1090,61,PROD290,Pakistan,2023-07-07,2023-08-08,0,active,2025-07-14,289.7,4,14,Clothing,Chair,Home,Female
ORD5091,CUST1091,30,PROD291,Canada,2021-02-27,2023-06-26,2,active,2024-02-25,27.0,5,8,Electronics,Dining Table,Home,Female
ORD5092,CUST1092,56,PROD292,Canada,2021-09-13,2022-05-22,2,active,2024-11-29,279.83,3,28,Clothing,Moisturizer,Beauty,Female
ORD5093,CUST1093,24,PROD293,Canada,2023-05-29,2024-06-28,0,paused,2024-10-22,290.29,5,30,Sports,Headphones,Electronics,Male
ORD5094,CUST1094,68,PROD294,Pakistan,2022-07-14,2024-12-25,2,active,2024-07-05,259.26,6,38,Home,Yoga Mat,Sports,Female
ORD5095,CUST1095,52,PROD295,Canada,2022-10-20,2024-11-11,5,cancelled,2025-07-09,159.25,5,40,Sports,Gaming Console,Electronics,Male
ORD5097,CUST1097,35,PROD297,Pakistan,2021-03-31,2022-11-21,4,active,2022-05-22,107.73,5,26,Home,Smartwatch,Electronics,Male
ORD5101,CUST1101,49,PROD301,USA,2022-04-15,2024-09-20,2,active,2025-03-09,38.59,9,48,Sports,Yoga Mat,Sports,Male
ORD5102,CUST1102,62,PROD302,USA,2023-08-14,2024-07-08,1,active,2025-05-18,196.79,8,35,Clothing,Moisturizer,Beauty,Female
ORD5103,CUST1103,36,PROD303,Germany,2023-06-18,2025-04-06,4,active,2024-01-27,84.34,5,41,Sports,Basketball,Sports,Female
ORD5104,CUST1104,51,PROD304,USA,2022-07-27,2023-10-17,2,paused,2025-01-04,760.96,1,13,Electronics,Foundation,Beauty,Male
ORD5105,CUST1105,54,PROD305,India,2022-10-01,2024-11-10,4,active,2024-03-12,716.3,2,24,Home,Smartphone,Electronics,Female
ORD5106,CUST1106,27,PROD306,UK,2022-09-15,2025-02-21,0,cancelled,2025-06-28,396.36,5,34,Sports,Chair,Home,Female
ORD5108,CUST1108,51,PROD308,India,2022-07-04,2024-11-11,3,cancelled,2024-07-23,107.67,4,26,Clothing,Vacuum Cleaner,Home,Other
ORD5109,CUST1109,39,PROD309,India,2022-11-06,2024-04-05,1,cancelled,2024-09-14,233.34,6,44,Clothing,Perfume,Beauty,Male
ORD5110,CUST1110,23,PROD310,Canada,2022-10-29,2023-08-21,1,active,2024-04-05,353.8,3,11,Electronics,Perfume,Beauty,Female
ORD5111,CUST1111,59,PROD311,India,2023-01-27,2023-12-26,0,paused,2025-01-11,221.28,8,41,Clothing,Jeans,Clothing,Female
ORD5112,CUST1112,29,PROD312,Canada,2021-02-13,2023-10-05,4,paused,2024-11-27,247.78,8,28,Electronics,Lipstick,Beauty,Female
ORD5114,CUST1114,31,PROD314,Pakistan,2021-12-16,2023-05-27,3,active,2023-11-01,164.62,6,15,Sports,Sofa,Home,Female
ORD5115,CUST1115,65,PROD315,Canada,2022-07-26,2022-10-01,3,active,2023-06-15,57.48,5,42,Beauty,Tablet,Electronics,Female
ORD5116,CUST1116,28,PROD316,Canada,2022-11-29,2024-09-28,0,active,2024-05-16,431.26,3,3,Electronics,Vacuum Cleaner,Home,Female
ORD5117,CUST1117,31,PROD317,Germany,2020-12-30,2021-06-09,0,cancelled,2023-03-02,205.69,8,7,Clothing,Dress,Clothing,Male
ORD5118,CUST1118,45,PROD318,Canada,2022-03-01,2024-09-17,1,active,2022-08-22,338.72,1,22,Home,Hoodie,Clothing,Male
ORD5119,CUST1119,19,PROD319,USA,2021-09-12,2024-06-28,1,active,2022-10-24,174.49,9,25,Clothing,Lipstick,Beauty,Female
ORD5120,CUST1120,64,PROD320,Pakistan,2020-11-16,2022-08-06,5,cancelled,2024-07-06,102.01,6,1,Electronics,Tablet,Electronics,Male
ORD5121,CUST1121,23,PROD321,UK,2022-10-30,2024-04-27,5,active,2023-02-18,389.99,5,3,Home,Shirt,Clothing,Male
ORD5122,CUST1122,22,PROD322,UNKNOWN,2022-12-03,2024-12-19,2,cancelled,2022-12-07,21.57,6,49,Sports,Face Wash,Beauty,Male
ORD5123,CUST1123,68,PROD323,USA,2023-04-25,2024-09-24,1,cancelled,2025-03-26,649.18,2,38,Electronics,Gaming Console,Electronics,Male
ORD5125,CUST1125,52,PROD325,UK,2023-05-20,2024-02-08,0,active,2025-05-11,201.06,8,28,Home,Lamp,Home,Female
ORD5126,CUST1126,35,PROD326,UK,2021-06-09,2024-10-18,1,active,2022-05-31,178.81,1,41,Electronics,Smartwatch,Electronics,Female
ORD5127,CUST1127,45,PROD327,Germany,2022-07-25,2023-02-27,2,cancelled,2023-11-14,167.69,5,49,Electronics,Headphones,Electronics,Female
ORD5131,CUST1131,21,PROD331,UK,2021-11-08,2025-01-25,0,UNKNOWN,2025-04-14,184.34,6,13,Home,Tablet,Electronics,Female
ORD5132,CUST1132,59,PROD332,USA,2022-07-13,2023-06-12,3,active,2025-08-08,332.14,4,3,Electronics,Skirt,Clothing,Female
ORD5133,CUST1133,46,PROD333,Germany,2021-06-29,2022-11-04,2,active,2025-06-02,42.65,5,34,Home,Tennis Racket,Sports,Female
ORD5134,CUST1134,35,PROD334,UNKNOWN,2021-09-05,2024-11-18,1,active,2022-11-28,21.3,9,43,Beauty,Cycling Helmet,Sports,Male
ORD5136,CUST1136,51,PROD336,India,2022-01-10,2022-07-08,1,active,2023-04-06,103.26,7,25,Beauty,Face Wash,Beauty,Female
ORD5137,CUST1137,39,PROD337,USA,2021-05-02,2024-07-11,3,active,2025-06-30,5.48,9,11,Electronics,Headphones,Electronics,Female
ORD5138,CUST1138,36,PROD338,Germany,2023-04-07,2023-05-09,3,active,2025-07-11,151.96,5,16,Sports,Cycling Helmet,Sports,Female
ORD5139,CUST1139,49,PROD339,Pakistan,2023-06-07,2023-07-19,3,active,2025-03-23,152.78,9,12,Electronics,Sneakers,Clothing,Female
ORD5140,CUST1140,55,PROD340,UK,2022-02-14,2024-02-25,2,active,2024-12-05,179.86,7,3,Clothing,Cycling Helmet,Sports,Male
ORD5141,CUST1141,19,PROD341,Germany,2023-03-24,2024-11-03,4,cancelled,2023-12-30,218.72,8,9,Clothing,Sneakers,Clothing,Female
ORD5142,CUST1142,47,PROD342,UK,2023-06-02,2025-03-28,0,cancelled,2023-08-24,177.72,4,46,Clothing,T-Shirt,Clothing,Female
ORD5143,CUST1143,53,PROD343,India,2021-10-20,2025-04-26,5,active,2024-09-16,224.37,4,30,Electronics,Conditioner,Beauty,Female
ORD5144,CUST1144,46,PROD344,India,2021-11-10,2024-06-26,3,active,2025-08-19,283.6,7,18,Electronics,Dress,Clothing,Female
ORD5146,CUST1146,47,PROD346,USA,2021-03-17,2023-10-30,1,active,2023-01-25,121.06,6,24,Beauty,Jeans,Clothing,Female
ORD5147,CUST1147,26,PROD347,Germany,2022-08-24,2025-02-28,5,active,2025-07-19,210.63,3,28,Beauty,Headphones,Electronics,Other
ORD5148,CUST1148,20,PROD348,India,2021-12-05,2024-07-25,1,active,2025-02-16,230.28,5,17,Beauty,Lamp,Home,Male
ORD5149,CUST1149,51,PROD349,Germany,2021-09-23,2024-02-05,2,cancelled,2024-01-24,8.24,6,37,Clothing,Nail Polish,Beauty,Male
ORD5150,CUST1150,20,PROD350,Germany,2021-09-22,2022-10-07,3,cancelled,2024-05-05,634.46,3,40,Clothing,Shirt,Clothing,Male
ORD5152,CUST1152,27,PROD352,Pakistan,2021-11-09,2023-01-18,5,active,2024-01-25,172.17,7,41,Home,Microwave,Home,Female
ORD5154,CUST1154,24,PROD354,UK,2020-10-13,2024-12-20,1,cancelled,2021-03-17,773.0,2,42,Home,Face Wash,Beauty,Other
ORD5156,CUST1156,42,PROD356,Pakistan,2021-10-06,2024-08-12,0,active,2022-09-18,210.63,2,1,Home,Jacket,Clothing,Male
ORD5157,CUST1157,55,PROD357,Canada,2022-07-17,2024-02-07,4,cancelled,2022-07-29,184.94,7,45,Home,Hoodie,Clothing,Male
ORD5158,CUST1158,35,PROD358,Pakistan,2020-11-22,2021-10-14,4,active,2021-04-09,34.88,5,24,Beauty,Lamp,Home,Female
ORD5159,CUST1159,31,PROD359,Pakistan,2022-04-09,2024-08-09,3,active,2024-05-17,23.82,9,1,Clothing,Foundation,Beauty,Male
ORD5160,CUST1160,21,PROD360,Germany,2022-05-22,2022-11-02,1,active,2022-08-07,241.3,6,21,Clothing,Yoga Mat,Sports,Male
ORD5161,CUST1161,65,PROD361,Canada,2022-07-30,2022-08-13,5,active,2025-07-27,292.25,3,24,Beauty,Tennis Racket,Sports,Female
ORD5162,CUST1162,30,PROD362,Canada,2020-09-30,2023-09-30,4,cancelled,2022-03-04,139.58,6,44,Clothing,Blender,Home,Female
ORD5163,CUST1163,38,PROD363,Pakistan,2023-07-02,2024-12-21,4,cancelled,2023-10-16,400.08,4,38,Clothing,Running Shoes,Sports,Female
ORD5165,CUST1165,45,PROD365,Germany,2023-05-12,2024-08-10,5,active,2025-06-11,597.67,3,9,Electronics,Blender,Home,Male
ORD5166,CUST1166,41,PROD366,UK,2021-09-03,2024-11-23,2,cancelled,2023-02-04,77.76,3,3,Electronics,Running Shoes,Sports,Male
ORD5167,CUST1167,38,PROD367,Pakistan,2021-11-23,2023-06-13,1,cancelled,2022-12-02,15.8,6,8,Home,Cricket Bat,Sports,Male
ORD5168,CUST1168,62,PROD368,Germany,2021-01-23,2023-01-04,2,active,2023-08-09,151.98,5,36,Home,Running Shoes,Sports,Other
ORD5169,CUST1169,47,PROD369,India,2021-05-02,2022-10-28,5,active,2021-05-16,35.32,6,49,Sports,Shirt,Clothing,Male
ORD5170,CUST1170,65,PROD370,UK,2021-05-09,2024-05-01,5,active,2025-02-27,161.03,9,47,Electronics,Basketball,Sports,Female
ORD5172,CUST1172,64,PROD372,Canada,2022-02-19,2023-04-15,0,cancelled,2024-02-28,261.65,5,28,Sports,Skirt,Clothing,Female
ORD5173,CUST1173,38,PROD373,Pakistan,2022-05-12,2024-12-02,5,cancelled,2025-05-11,332.86,5,42,Beauty,Lamp,Home,Male
ORD5174,CUST1174,51,PROD374,Germany,2023-02-15,2024-11-15,4,active,2025-05-09,68.45,3,39,Beauty,Shampoo,Beauty,Male
ORD5175,CUST1175,62,PROD375,Pakistan,2021-09-15,2024-02-19,5,active,2024-09-20,274.96,4,26,Sports,Smartphone,Electronics,Male
ORD5177,CUST1177,21,PROD377,Canada,2020-11-19,2022-11-04,4,paused,2022-10-28,103.64,9,34,Sports,Cricket Bat,Sports,Female
ORD5179,CUST1179,48,PROD379,Germany,2021-07-24,2021-10-06,2,active,2022-04-10,348.34,2,15,Sports,Lipstick,Beauty,Male
ORD5180,CUST1180,48,PROD380,Pakistan,2023-04-10,2024-05-01,0,active,2025-07-18,18.7,6,33,Beauty,Microwave,Home,Female
ORD5182,CUST1182,37,PROD382,India,2021-08-01,2025-07-28,0,active,2024-04-21,183.2,8,5,Beauty,Headphones,Electronics,Male
ORD5183,CUST1183,59,PROD383,Canada,2021-04-19,2022-10-14,2,active,2024-08-17,215.88,8,23,Clothing,Smartwatch,Electronics,Male
ORD5185,CUST1185,47,PROD385,Canada,2022-06-22,2025-02-17,2,active,2025-02-28,22.07,9,9,Home,Cricket Bat,Sports,Female
ORD5186,CUST1186,62,PROD386,Canada,2021-08-08,2025-07-12,5,active,2022-10-14,200.21,4,10,Beauty,Jacket,Clothing,Female
ORD5187,CUST1187,26,PROD387,India,2023-05-06,2025-03-24,1,cancelled,2025-04-14,678.67,2,39,Home,Tennis Racket,Sports,Female
ORD5188,CUST1188,20,PROD388,Pakistan,2021-05-25,2024-10-10,0,active,2024-09-14,689.37,2,34,Beauty,Microwave,Home,Female
ORD5189,CUST1189,40,PROD389,Germany,2022-10-22,2023-02-26,5,active,2025-08-04,180.98,6,40,Electronics,Skirt,Clothing,Male
ORD5190,CUST1190,49,PROD390,Pakistan,2021-07-19,2023-01-02,4,cancelled,2025-06-04,148.34,5,7,Electronics,Camera,Electronics,Female
ORD5191,CUST1191,33,PROD391,UK,2022-02-15,2022-10-25,4,cancelled,2022-05-02,127.83,7,9,Electronics,Bluetooth Speaker,Electronics,Male
ORD5193,CUST1193,28,PROD393,Canada,2021-08-14,2023-06-02,5,active,2024-05-07,175.71,7,26,Home,T-Shirt,Clothing,Male
ORD5194,CUST1194,36,PROD394,Canada,2021-05-10,2022-02-18,2,cancelled,2021-07-01,39.74,9,10,Home,Conditioner,Beauty,Female
ORD5195,CUST1195,57,PROD395,India,2023-07-19,2024-08-21,0,active,2025-01-14,199.73,6,46,Electronics,Dumbbells,Sports,Male
ORD5197,CUST1197,34,PROD397,USA,2022-10-01,2023-03-03,2,active,2023-03-20,429.25,4,45,Electronics,Headphones,Electronics,Male
ORD5198,CUST1198,39,PROD398,USA,2022-04-25,2024-03-06,4,cancelled,2022-11-20,122.72,9,35,Electronics,Shirt,Clothing,Female
ORD5200,CUST1200,69,PROD400,Germany,2021-07-11,2023-09-19,2,cancelled,2021-09-09,483.12,4,23,Sports,Shampoo,Beauty,Female
ORD5201,CUST1201,61,PROD401,India,2023-03-29,2025-06-02,0,cancelled,2023-04-21,138.92,6,47,Electronics,Shirt,Clothing,Male
ORD5202,CUST1202,68,PROD402,UK,2021-11-06,2022-12-27,4,active,2025-04-17,299.78,6,13,Home,Vacuum Cleaner,Home,Female
ORD5203,CUST1203,61,PROD403,Germany,2021-07-22,2023-03-15,4,cancelled,2022-09-04,296.68,6,6,Clothing,Dress,Clothing,Other
ORD5204,CUST1204,22,PROD404,USA,2021-05-12,2023-10-25,0,active,2024-09-06,63.16,2,13,Clothing,Bluetooth Speaker,Electronics,Female
ORD5206,CUST1206,59,PROD406,Germany,2021-11-24,2023-12-11,1,active,2024-06-08,263.02,6,26,Beauty,Yoga Mat,Sports,Female
ORD5209,CUST1209,30,PROD409,Pakistan,2022-04-12,2024-09-14,2,active,2022-11-28,582.62,2,6,Clothing,Sneakers,Clothing,Male
ORD5210,CUST1210,30,PROD410,UK,2022-03-14,2023-02-14,0,active,2022-07-01,181.32,2,40,Home,Moisturizer,Beauty,Female
ORD5211,CUST1211,65,PROD411,UK,2022-03-08,2023-02-18,2,paused,2025-05-15,174.87,9,34,Sports,Cricket Bat,Sports,Male
ORD5212,CUST1212,48,PROD412,Canada,2022-04-26,2024-02-11,4,UNKNOWN,2023-06-12,462.9,3,45,Clothing,Refrigerator,Home,Female
ORD5213,CUST1213,56,PROD413,Pakistan,2021-01-04,2024-07-26,2,cancelled,2025-04-14,490.01,3,40,Sports,Headphones,Electronics,Female
ORD5215,CUST1215,64,PROD415,India,2021-03-08,2023-05-19,4,active,2024-05-04,151.03,8,30,Beauty,Smartphone,Electronics,Male
ORD5217,CUST1217,59,PROD417,Germany,2023-04-27,2023-12-04,5,active,2023-09-05,277.17,7,3,Electronics,Lipstick,Beauty,Male
ORD5218,CUST1218,36,PROD418,Canada,2022-07-01,2025-02-28,5,active,2023-08-26,90.95,1,30,Sports,Moisturizer,Beauty,Female
ORD5220,CUST1220,51,PROD420,Pakistan,2022-06-06,2023-07-12,3,paused,2025-07-28,262.87,3,27,Home,Shampoo,Beauty,Female
ORD5221,CUST1221,49,PROD421,USA,2020-10-01,2025-05-16,2,active,2023-05-07,173.2,8,45,Sports,Running Shoes,Sports,Female
ORD5222,CUST1222,46,PROD422,Canada,2022-04-26,2024-05-31,1,active,2024-05-19,398.18,5,12,Sports,Perfume,Beauty,Female
ORD5223,CUST1223,25,PROD423,Pakistan,2023-01-05,2024-10-20,0,active,2023-05-01,211.82,8,32,Home,Moisturizer,Beauty,Female
ORD5225,CUST1225,62,PROD425,UK,2023-02-27,2024-09-02,5,active,2024-05-08,63.52,8,7,Beauty,Dumbbells,Sports,Female
ORD5226,CUST1226,52,PROD426,Germany,2021-03-19,2022-09-12,2,active,2023-02-06,317.31,5,45,Electronics,Cricket Bat,Sports,Female
ORD5229,CUST1229,46,PROD429,UK,2022-07-25,2025-01-15,2,active,2023-08-25,347.76,4,27,Beauty,Shirt,Clothing,Male
ORD5230,CUST1230,18,PROD430,India,2022-06-21,2023-05-26,1,active,2023-11-29,220.93,8,38,Home,Basketball,Sports,Female
ORD5232,CUST1232,54,PROD432,UK,2022-07-14,2023-10-06,4,cancelled,2024-04-11,134.4,5,30,Electronics,Chair,Home,Other
ORD5233,CUST1233,35,PROD433,India,2022-04-07,2024-06-02,1,active,2023-11-24,133.25,9,26,Electronics,Sofa,Home,Female
ORD5235,CUST1235,22,PROD435,Pakistan,2020-09-22,2022-10-31,0,cancelled,2022-01-21,80.21,8,47,Clothing,Vacuum Cleaner,Home,Female
ORD5236,CUST1236,60,PROD436,Pakistan,2021-09-23,2022-07-16,2,active,2023-09-11,133.84,4,11,Home,T-Shirt,Clothing,Female
ORD5238,CUST1238,37,PROD438,Canada,2021-11-29,2023-01-26,2,active,2025-05-28,55.18,8,3,Electronics,Smartphone,Electronics,Female
ORD5239,CUST1239,50,PROD439,USA,2022-12-27,2025-02-26,5,active,2025-02-04,25.75,7,8,Clothing,Tennis Racket,Sports,Female
ORD5240,CUST1240,22,PROD440,Germany,2022-05-21,2023-04-09,5,active,2022-05-30,7.42,6,22,Electronics,Lamp,Home,Female
ORD5241,CUST1241,46,PROD441,Canada,2020-09-16,2022-01-23,0,active,2024-10-19,430.28,4,39,Sports,Jeans,Clothing,Female
ORD5242,CUST1242,59,PROD442,India,2021-05-09,2025-05-03,2,active,2023-04-24,307.95,3,40,Clothing,Bluetooth Speaker,Electronics,Female
ORD5243,CUST1243,53,PROD443,Germany,2021-12-18,2022-07-12,2,active,2023-10-24,235.7,1,5,Beauty,Lipstick,Beauty,Female
ORD5245,CUST1245,67,PROD445,UK,2020-10-31,2021-07-23,0,active,2025-07-06,232.39,4,40,Beauty,Conditioner,Beauty,Female
